,hesitation,speedMax,speedMean,accMax,accMean,reactionTime,normTrajLength
0,0,2848.5980775858634,1909.7940771134424,69.40774945588666,12.998765525881927,1783,0.8090678330732537
1,3,3260.5654890719784,2180.759743529902,218.434970522322,21.39447695066827,1112,0.7994175624929294
2,3,3058.2287312315257,2348.024185624735,78.95596686580791,13.1094202884327,580,0.8320140068490567
3,3,3408.8155746819825,2302.967438621935,110.95114189498322,9.77598155808934,806,0.7662713143243066
4,4,1972.4986779812286,1089.9711390536488,67.49228546539318,1.3520894107725956,1070,0.8543500780720714
5,2,3293.125059780976,1939.675061032788,202.62702333761004,18.29977631913481,1500,0.8813558994515176
6,0,3357.481106224859,2089.793615704328,105.79950512218416,14.68173520263691,813,0.7729678045970337
7,0,2998.785254274567,1749.4255751784194,74.0716227364241,-5.538858232116489,1556,1.3805919905712234
8,2,3900.061359738058,2216.153077227901,193.2263193259488,11.733331119322173,769,0.7848937533520761
9,2,3118.793065391297,1908.5011025191598,147.16233190331366,15.760542070877056,1384,0.6882114605153774
10,2,3405.2402329428273,2085.222890924167,112.36155990808135,30.815902909297918,736,0.7094631562403979
11,2,2760.672627988084,1863.1645505671622,38.96784006989314,-1.2325891021643578,1393,0.7768626006604911
12,3,2951.390924702691,2054.5797270094845,127.94987256921732,13.868814617724503,994,0.832785135259969
13,2,3077.329769589118,1868.0527137697843,115.9631091476095,15.501253172798505,862,0.88843353049269
14,0,2809.995128010275,1683.8541182490003,62.78253985684875,1.7855288425290492,1236,0.7297675442769627
15,3,1972.746124108159,1252.7578176358813,72.54090670112797,4.81688613702021,1115,0.8413057604661809
16,11,2019.9161949011968,786.2579976036569,56.37346133969395,3.706061645548878,1157,0.8674736775760488
17,6,2457.724116650323,1555.5227612391664,112.99605515052394,8.571456922500976,562,0.9443560604626811
18,3,2907.79859998924,1836.2397345896916,60.580443143244835,7.280133358342494,830,0.9540918409363786
19,0,2622.29173682251,1511.5155980110358,81.5188545884248,0.4500760231724087,1023,0.7428495970075302
20,3,2228.7036337978743,1561.0575529208538,58.806570859333725,8.586346870231536,1207,0.6248515025351056
21,2,2614.272856684524,1852.37874803005,86.60155343685105,17.603782802903392,2920,0.7921864494654786
22,1,2524.819770829009,1728.1594010795886,43.999890289535706,0.875246202841906,714,0.839792303789891
23,0,3980.863051586461,1891.674512590287,136.77610847480258,10.8091582682246,3320,0.9971764235478098
24,1,3289.1600434371653,1940.521932178817,75.42067303184112,5.05582682856875,1048,0.9569236934125979
25,1,4066.2791532293313,2238.0775456397164,296.18201522952944,36.095411450233286,5335,0.8594790034467026
26,0,2639.69685481781,2012.8771672386858,132.6753144457407,26.128872592047163,1422,0.6443482323844258
27,2,2950.1718446803893,1766.699035040132,54.320374008067866,7.204794059057968,896,0.91807616661943
28,0,4435.899958603443,2178.1827128018463,155.34052957546476,3.8358201795120905,4232,0.8201999883876594
29,1,2970.856888522604,1694.8896394789117,182.55352516613686,3.4059521360555,1781,0.702550307441975
